# participant=ALEX
# started=2026-07-17T07:27:50.042Z
Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,dB,Event
2026-07-17T07:27:50.124Z,0.0421,-0.6760,0.7431,-0.0513,0.0721,-0.0385,-120.0,
2026-07-17T07:27:50.124Z,0.0421,-0.6760,0.7431,-0.0513,0.0721,-0.0385,-120.0,
2026-07-17T07:27:50.124Z,0.0421,-0.6760,0.7431,-0.0513,0.0721,-0.0385,-120.0,
2026-07-17T07:27:50.508Z,0.3773,-0.6953,0.6055,-0.0145,0.0084,-0.0149,-120.0,
2026-07-17T07:27:51.138Z,0.3896,-0.6970,0.5937,-0.0137,0.0043,-0.0136,-57.5,
2026-07-17T07:27:52.154Z,0.3862,-0.6975,0.5902,-0.0183,0.0573,-0.0062,-64.6,
2026-07-17T07:27:53.171Z,0.3802,-0.7001,0.6038,-0.0071,0.0078,-0.0223,-66.7,
2026-07-17T07:27:54.187Z,0.3736,-0.7113,0.6033,-0.0260,-0.0015,-0.0033,-68.9,
2026-07-17T07:27:55.204Z,0.3194,-0.6832,0.6812,0.0469,0.5168,0.0122,-70.5,
2026-07-17T07:27:56.222Z,0.2299,-0.7189,0.5743,0.0578,0.1821,-0.0934,-71.4,
2026-07-17T07:27:57.222Z,0.4229,-0.6874,0.5918,0.0618,0.0421,-0.0346,-70.5,
2026-07-17T07:27:58.224Z,0.4271,-0.6909,0.6132,0.0218,-0.0283,-0.0206,-71.8,
2026-07-17T07:27:59.225Z,-0.1585,-0.6250,0.7192,0.1177,0.4338,-0.0944,-64.1,
2026-07-17T07:28:00.226Z,0.4026,-0.1618,1.4153,1.9939,-0.2225,0.5449,-61.4,
2026-07-17T07:28:01.242Z,-0.0202,-0.0168,1.0042,-0.0095,-0.0036,-0.0120,-59.6,
2026-07-17T07:28:02.259Z,-0.0312,-0.0344,0.9989,-0.0158,0.0017,0.0022,-24.9,
2026-07-17T07:28:03.275Z,-0.0329,-0.0354,0.9996,-0.0153,0.0036,-0.0100,-49.7,
2026-07-17T07:28:04.292Z,-0.0446,-0.0460,0.9987,-0.0150,0.0081,-0.0141,-53.9,
2026-07-17T07:28:05.309Z,-0.0394,-0.0394,0.9996,-0.0020,0.0020,-0.0135,-51.8,
2026-07-17T07:28:06.325Z,-0.0423,-0.0449,0.9980,-0.0055,-0.0057,-0.0074,-53.7,
2026-07-17T07:28:07.342Z,-0.0415,-0.0438,0.9992,-0.0050,-0.0017,-0.0100,-46.5,
2026-07-17T07:28:08.359Z,-0.0435,-0.0435,1.0007,-0.0091,0.0009,-0.0119,-56.1,
2026-07-17T07:28:09.375Z,-0.0418,-0.0468,0.9985,-0.0100,0.0020,-0.0115,-57.6,
2026-07-17T07:28:10.392Z,-0.0450,-0.0490,0.9986,-0.0082,-0.0040,-0.0094,-42.5,
2026-07-17T07:28:11.409Z,-0.0449,-0.0465,0.9989,-0.0066,-0.0008,-0.0110,-42.0,
2026-07-17T07:28:12.426Z,-0.0506,-0.0525,0.9972,-0.0106,0.0005,-0.0104,-35.8,
2026-07-17T07:28:13.443Z,-0.0535,-0.0555,0.9955,-0.0061,-0.0064,-0.0049,-41.8,
2026-07-17T07:28:14.459Z,-0.0558,-0.0547,1.0000,-0.0079,-0.0042,-0.0070,-48.2,
2026-07-17T07:28:15.476Z,-0.0459,-0.0448,0.9993,0.0095,-0.0149,0.0030,-44.1,
2026-07-17T07:28:16.493Z,-0.0369,-0.0271,1.0002,0.0038,-0.0046,0.0016,-49.7,
2026-07-17T07:28:17.509Z,-0.0331,-0.0221,1.0003,-0.0054,-0.0040,-0.0049,-57.5,
2026-07-17T07:28:18.526Z,-0.0328,-0.0177,1.0015,-0.0055,-0.0016,-0.0100,-58.5,
2026-07-17T07:28:19.543Z,-0.0327,-0.0173,1.0007,-0.0044,-0.0016,-0.0090,-56.0,
2026-07-17T07:28:20.559Z,-0.0316,-0.0172,1.0008,-0.0058,-0.0011,-0.0080,-59.8,
2026-07-17T07:28:21.576Z,-0.0331,-0.0159,1.0001,-0.0052,-0.0013,-0.0095,-58.5,
2026-07-17T07:28:22.593Z,-0.0327,-0.0149,0.9999,-0.0060,0.0008,-0.0092,-61.7,
2026-07-17T07:28:23.609Z,-0.0316,-0.0159,1.0007,-0.0058,-0.0031,-0.0094,-60.7,
2026-07-17T07:28:24.626Z,-0.0320,-0.0153,1.0013,-0.0066,-0.0011,-0.0112,-58.5,
2026-07-17T07:28:25.643Z,-0.0322,-0.0128,1.0007,-0.0076,-0.0024,-0.0095,-58.9,
2026-07-17T07:28:26.660Z,-0.0325,-0.0174,0.9998,-0.0059,-0.0003,-0.0095,-56.3,
2026-07-17T07:28:27.676Z,-0.0325,-0.0174,0.9998,-0.0056,-0.0068,-0.0051,-56.8,
2026-07-17T07:28:28.693Z,-0.0294,-0.0122,0.9993,-0.0051,-0.0011,-0.0094,-55.4,
2026-07-17T07:28:29.710Z,-0.0321,-0.0127,1.0010,-0.0057,-0.0009,-0.0091,-56.6,
2026-07-17T07:28:30.726Z,-0.0293,-0.0158,1.0001,-0.0064,-0.0015,-0.0105,-40.7,
2026-07-17T07:28:31.743Z,-0.0307,-0.0126,1.0015,-0.0054,-0.0021,-0.0083,-47.5,
2026-07-17T07:28:32.760Z,-0.0326,-0.0127,1.0016,-0.0062,-0.0014,-0.0065,-62.4,
2026-07-17T07:28:33.777Z,-0.0311,-0.0145,0.9996,-0.0072,-0.0013,-0.0116,-60.2,
2026-07-17T07:28:34.777Z,-0.0324,-0.0130,1.0000,-0.0080,-0.0010,-0.0113,-58.4,
2026-07-17T07:28:35.793Z,-0.0306,-0.0126,0.9998,-0.0079,-0.0028,-0.0104,-59.3,
2026-07-17T07:28:36.810Z,-0.0317,-0.0119,1.0001,-0.0066,-0.0004,-0.0099,-59.4,
2026-07-17T07:28:37.827Z,-0.0323,-0.0119,1.0006,-0.0075,-0.0012,-0.0105,-62.5,
2026-07-17T07:28:38.843Z,-0.0331,-0.0136,1.0019,-0.0067,-0.0023,-0.0101,-55.9,
2026-07-17T07:28:39.861Z,-0.0367,-0.0229,0.9991,-0.0196,-0.0011,-0.0260,-39.3,
2026-07-17T07:28:40.877Z,0.9043,-0.0507,-0.4196,-0.1181,-1.1022,-1.0370,-48.2,
2026-07-17T07:28:41.879Z,0.9115,-0.0742,-0.4166,0.0442,-0.1298,0.1581,-49.6,
2026-07-17T07:28:52.578Z,0.9386,-0.0947,-0.3402,0.0233,0.1222,0.1015,-120.0,
2026-07-17T07:28:53.586Z,0.4376,-0.8886,0.0257,0.0296,0.0292,-0.0125,-120.0,
2026-07-17T07:28:54.603Z,0.6501,-0.6995,0.5703,1.0065,0.8257,-0.8248,-120.0,
2026-07-17T07:28:55.620Z,0.3920,-0.7466,0.0396,-1.0561,-2.0233,0.2299,-120.0,
2026-07-17T07:28:56.621Z,0.5820,-0.7708,0.0704,0.0891,0.0049,-0.0581,-120.0,
2026-07-17T07:28:57.622Z,0.6159,-0.7680,0.1303,0.0233,0.0322,-0.0306,-120.0,
2026-07-17T07:28:58.624Z,0.5743,-0.7484,0.3058,-0.1049,0.2925,-0.0651,-120.0,
2026-07-17T07:29:00.115Z,0.5904,-0.7263,0.2767,-0.0740,-0.0326,-0.0108,-120.0,
2026-07-17T07:29:01.120Z,0.5286,-0.6895,0.2862,0.0517,0.8536,-0.0914,-120.0,
2026-07-17T07:29:02.137Z,-0.0562,-0.1471,1.0741,0.5962,0.6378,0.2068,-120.0,
2026-07-17T07:29:03.154Z,-0.0267,-0.0317,0.9983,0.0003,-0.0069,0.0047,-120.0,
2026-07-17T07:29:04.171Z,-0.0213,-0.0202,1.0007,-0.0041,-0.0011,-0.0046,-120.0,
2026-07-17T07:29:05.188Z,-0.0211,-0.0203,1.0018,-0.0061,-0.0006,-0.0096,-120.0,
2026-07-17T07:29:06.205Z,-0.0202,-0.0177,1.0000,-0.0051,-0.0027,-0.0085,-120.0,
2026-07-17T07:29:07.221Z,-0.0194,-0.0165,1.0011,-0.0053,-0.0021,-0.0085,-120.0,
2026-07-17T07:29:08.238Z,-0.0199,-0.0162,1.0005,-0.0071,-0.0014,-0.0094,-120.0,
2026-07-17T07:29:09.255Z,-0.0192,-0.0143,1.0013,-0.0059,-0.0014,-0.0086,-120.0,
2026-07-17T07:29:10.272Z,-0.0179,-0.0152,1.0017,-0.0072,-0.0003,-0.0109,-120.0,
2026-07-17T07:29:11.288Z,-0.0195,-0.0130,1.0011,-0.0082,0.0001,-0.0101,-120.0,
2026-07-17T07:29:12.305Z,-0.0194,-0.0139,0.9999,-0.0066,-0.0019,-0.0101,-120.0,
2026-07-17T07:29:13.322Z,-0.0180,-0.0135,1.0000,-0.0079,-0.0012,-0.0089,-120.0,
2026-07-17T07:29:14.338Z,-0.0176,-0.0128,1.0000,-0.0075,-0.0006,-0.0093,-120.0,
2026-07-17T07:29:15.355Z,-0.0179,-0.0121,1.0002,-0.0054,-0.0006,-0.0096,-120.0,
2026-07-17T07:29:16.372Z,-0.0175,-0.0123,1.0006,-0.0068,-0.0015,-0.0097,-120.0,
2026-07-17T07:29:17.389Z,-0.0173,-0.0116,1.0017,-0.0068,-0.0006,-0.0097,-120.0,
2026-07-17T07:29:18.405Z,-0.0170,-0.0120,1.0001,-0.0075,-0.0012,-0.0102,-120.0,
2026-07-17T07:29:19.422Z,-0.0175,-0.0101,1.0002,-0.0069,-0.0013,-0.0102,-120.0,
2026-07-17T07:29:20.439Z,-0.0177,-0.0114,1.0004,-0.0069,-0.0029,-0.0091,-120.0,
2026-07-17T07:29:21.456Z,-0.0181,-0.0092,1.0003,-0.0066,-0.0009,-0.0093,-120.0,
2026-07-17T07:29:22.473Z,-0.0163,-0.0125,1.0011,-0.0070,-0.0004,-0.0089,-120.0,
2026-07-17T07:29:23.489Z,-0.0162,-0.0106,0.9997,-0.0082,-0.0016,-0.0090,-120.0,
2026-07-17T07:29:24.506Z,-0.0166,-0.0115,1.0011,-0.0067,-0.0008,-0.0103,-120.0,
2026-07-17T07:29:25.523Z,-0.0171,-0.0106,1.0005,-0.0072,-0.0003,-0.0081,-120.0,
2026-07-17T07:29:26.540Z,-0.0179,-0.0102,1.0007,-0.0058,-0.0019,-0.0108,-120.0,
2026-07-17T07:29:27.556Z,-0.0169,-0.0119,1.0005,-0.0077,-0.0013,-0.0107,-120.0,
2026-07-17T07:29:28.573Z,-0.0175,-0.0114,0.9994,-0.0064,-0.0014,-0.0096,-120.0,
2026-07-17T07:29:29.590Z,-0.0175,-0.0123,1.0007,-0.0063,-0.0009,-0.0093,-120.0,
2026-07-17T07:29:30.607Z,-0.0170,-0.0117,0.9974,-0.0068,-0.0008,-0.0111,-120.0,
2026-07-17T07:29:31.623Z,-0.0174,-0.0120,1.0013,-0.0051,-0.0005,-0.0093,-120.0,
2026-07-17T07:29:32.640Z,-0.0164,-0.0112,1.0011,-0.0068,0.0002,-0.0106,-120.0,
2026-07-17T07:29:33.657Z,-0.0171,-0.0111,1.0003,-0.0065,-0.0003,-0.0102,-120.0,
2026-07-17T07:29:34.674Z,-0.0166,-0.0117,1.0015,-0.0058,-0.0021,-0.0101,-120.0,
2026-07-17T07:29:35.690Z,-0.0172,-0.0110,1.0020,-0.0060,-0.0015,-0.0101,-120.0,
2026-07-17T07:29:36.707Z,-0.0168,-0.0117,1.0018,-0.0068,-0.0018,-0.0088,-120.0,
2026-07-17T07:29:37.724Z,-0.0171,-0.0109,1.0023,-0.0053,-0.0030,-0.0096,-120.0,
2026-07-17T07:29:38.741Z,-0.0170,-0.0129,1.0007,-0.0067,-0.0004,-0.0101,-120.0,
2026-07-17T07:29:39.758Z,-0.0176,-0.0125,0.9990,-0.0057,0.0009,-0.0102,-120.0,
2026-07-17T07:29:40.774Z,-0.0173,-0.0116,1.0006,-0.0059,-0.0005,-0.0104,-120.0,
2026-07-17T07:29:41.791Z,-0.0158,-0.0109,1.0007,-0.0066,-0.0008,-0.0106,-120.0,
2026-07-17T07:29:42.808Z,-0.0177,-0.0126,0.9998,-0.0067,-0.0015,-0.0098,-120.0,
2026-07-17T07:29:43.824Z,-0.0175,-0.0124,1.0004,-0.0059,-0.0015,-0.0084,-120.0,
2026-07-17T07:29:44.841Z,-0.0168,-0.0110,1.0004,-0.0067,-0.0013,-0.0085,-120.0,
2026-07-17T07:29:45.858Z,-0.0158,-0.0106,0.9984,-0.0065,-0.0013,-0.0088,-120.0,
2026-07-17T07:29:46.875Z,-0.0182,-0.0107,1.0011,-0.0077,-0.0029,-0.0091,-120.0,
2026-07-17T07:29:47.892Z,-0.0163,-0.0121,1.0011,-0.0064,-0.0007,-0.0085,-120.0,
2026-07-17T07:29:48.908Z,-0.0173,-0.0105,1.0011,-0.0045,-0.0012,-0.0107,-120.0,
2026-07-17T07:29:49.925Z,-0.0196,-0.0128,0.9989,-0.0081,-0.0034,-0.0083,-120.0,
2026-07-17T07:29:50.942Z,-0.0161,-0.0115,0.9996,-0.0065,-0.0014,-0.0097,-120.0,
2026-07-17T07:29:51.959Z,-0.0148,-0.0105,1.0004,-0.0128,-0.0055,-0.0173,-120.0,
2026-07-17T07:29:52.975Z,-0.0126,-0.0181,1.0000,0.0303,-0.0299,-0.0117,-120.0,
